N,n_bin,P,p_bin,K,k_bin,temperature,temp_bin,humidity,humidity_bin,pH,pH_bin,rainfall,rainfall_bin,label,,,,,Range,,,33 percentile,66 percentile,Categorical Bins (for NB),,
67,Medium,59,High,41,Medium,21.95,Low,80.97,Medium,6.01,Low,213.36,High,rice,,,,,,,,,,,,
83,High,41,Medium,43,Medium,21.05,Low,82.68,Medium,6.25,Medium,233.11,High,rice,,,,,,,,,,,,
98,High,47,Medium,37,Medium,23.48,Medium,81.33,Medium,7.38,High,224.06,High,rice,,,,,,,,,,,,
66,Medium,53,Medium,41,Medium,25.08,Medium,80.52,Medium,7.78,High,257.00,High,rice,,,,,,,,,,,,
97,High,59,High,43,Medium,26.36,Medium,84.04,Medium,6.29,Medium,271.36,High,rice,,,,,,,,,,,,
97,High,50,Medium,41,Medium,24.53,Medium,80.54,Medium,7.07,High,260.26,High,rice,,,,,,,,,,,,
60,Medium,49,Medium,44,Medium,20.78,Low,84.50,Medium,6.24,Medium,240.08,High,rice,,,,,,,,,,,,
84,High,51,Medium,35,Medium,22.30,Low,80.64,Medium,6.04,Low,197.98,High,rice,,,,,,,,,,,,
73,High,57,Medium,41,Medium,21.45,Low,84.94,Medium,5.82,Low,272.20,High,rice,,,,,,,,,,,,
92,High,35,Medium,40,Medium,22.18,Low,80.33,Medium,6.36,Medium,200.09,High,rice,,,,,,,,,,,,
85,High,37,Medium,39,Medium,24.53,Medium,82.74,Medium,6.36,Medium,224.68,High,rice,,,,,,,,,,,,
98,High,53,Medium,38,Medium,20.27,Low,81.64,Medium,5.01,Low,270.44,High,rice,,,,,,,,,,,,
88,High,54,Medium,44,Medium,25.74,Medium,83.88,Medium,6.15,Medium,233.13,High,rice,,,,,,,,,,,,
95,High,55,Medium,42,Medium,26.80,Medium,82.15,Medium,5.95,Low,193.35,High,rice,,,,,,,,,,,,
99,High,57,Medium,35,Medium,26.76,Medium,81.18,Medium,5.96,Low,272.30,High,rice,,,,,,,,,,,,
95,High,39,Medium,36,Medium,23.86,Medium,83.15,Medium,5.56,Low,285.25,High,rice,,,,,,,,,,,,
60,Medium,43,Medium,44,Medium,21.02,Low,82.95,Medium,7.42,High,298.40,High,rice,,,,,,,,,,,,
63,Medium,44,Medium,41,Medium,24.17,Medium,83.73,Medium,5.58,Low,257.03,High,rice,,,,,,,,,,,,
62,Medium,42,Medium,36,Medium,22.78,Low,82.07,Medium,6.43,Medium,248.72,High,rice,,,,,,,,,,,,
64,Medium,45,Medium,43,Medium,25.63,Medium,83.53,Medium,5.53,Low,209.90,High,rice,,,,,,,,,,,,
83,High,60,High,36,Medium,25.60,Medium,80.15,Low,6.90,High,200.83,High,rice,,,,,,,,,,,,
82,High,40,Medium,40,Medium,23.83,Medium,84.81,Medium,6.27,Medium,298.56,High,rice,,,,,,,,,,,,
85,High,52,Medium,45,Medium,26.31,Medium,82.37,Medium,7.22,High,265.54,High,rice,,,,,,,,,,,,
91,High,35,Medium,38,Medium,24.90,Medium,80.53,Medium,6.13,Medium,183.68,High,rice,,,,,,,,,,,,
76,High,49,Medium,42,Medium,24.96,Medium,84.48,Medium,5.21,Low,196.96,High,rice,,,,,,,,,,,,
74,High,39,Medium,38,Medium,23.24,Low,84.59,Medium,7.78,High,233.05,High,rice,,,,,,,,,,,,
79,High,43,Medium,39,Medium,21.67,Low,80.71,Medium,7.06,High,210.81,High,rice,,,,,,,,,,,,
88,High,55,Medium,45,Medium,24.64,Medium,80.41,Medium,7.73,High,253.72,High,rice,,,,,,,,,,,,
60,Medium,36,Medium,43,Medium,23.43,Medium,83.06,Medium,5.29,Low,219.90,High,rice,,,,,,,,,,,,
76,High,60,High,39,Medium,20.05,Low,80.35,Medium,6.77,High,208.58,High,rice,,,,,,,,,,,,
93,High,56,Medium,42,Medium,23.86,Medium,82.23,Medium,7.38,High,195.09,High,rice,,,,,,,,,,,,
65,Medium,60,High,43,Medium,21.97,Low,81.90,Medium,5.66,Low,227.36,High,rice,,,,,,,,,,,,
95,High,52,Medium,36,Medium,26.23,Medium,83.84,Medium,5.54,Low,286.51,High,rice,,,,,,,,,,,,
75,High,38,Medium,39,Medium,23.45,Medium,84.79,Medium,6.22,Medium,283.93,High,rice,,,,,,,,,,,,
74,High,54,Medium,38,Medium,25.66,Medium,83.47,Medium,7.12,High,217.38,High,rice,,,,,,,,,,,,
91,High,36,Medium,45,Medium,24.44,Medium,82.45,Medium,5.95,Low,267.98,High,rice,,,,,,,,,,,,
71,High,46,Medium,40,Medium,20.28,Low,82.12,Medium,7.24,High,191.95,High,rice,,,,,,,,,,,,
99,High,55,Medium,35,Medium,21.72,Low,80.24,Medium,6.50,Medium,277.96,High,rice,,,,,,,,,,,,
72,High,40,Medium,38,Medium,20.41,Low,82.21,Medium,7.59,High,245.15,High,rice,,,,,,,,,,,,
83,High,58,Medium,45,Medium,25.76,Medium,83.52,Medium,5.88,Low,245.66,High,rice,,,,,,,,,,,,
93,High,58,Medium,38,Medium,20.62,Low,83.77,Medium,6.93,High,279.55,High,rice,,,,,,,,,,,,
70,High,36,Medium,42,Medium,21.84,Low,80.73,Medium,6.95,High,202.38,High,rice,,,,,,,,,,,,
76,High,47,Medium,42,Medium,20.08,Low,83.29,Medium,5.74,Low,263.64,High,rice,,,,,,,,,,,,
99,High,41,Medium,36,Medium,24.46,Medium,82.75,Medium,6.74,High,182.56,High,rice,,,,,,,,,,,,
99,High,54,Medium,37,Medium,21.14,Low,80.34,Medium,5.59,Low,198.67,High,rice,,,,,,,,,,,,
86,High,59,High,35,Medium,25.79,Medium,82.11,Medium,6.95,High,243.51,High,rice,,,,,,,,,,,,
69,High,46,Medium,41,Medium,23.64,Medium,80.29,Medium,5.01,Low,263.11,High,rice,,,,,,,,,,,,
91,High,56,Medium,37,Medium,23.43,Medium,80.57,Medium,6.36,Medium,269.50,High,rice,,,,,,,,,,,,
61,Medium,52,Medium,41,Medium,24.98,Medium,83.89,Medium,6.88,High,204.80,High,rice,,,,,,,,,,,,
67,Medium,45,Medium,38,Medium,22.73,Low,82.17,Medium,7.30,High,260.89,High,rice,,,,,,,,,,,,
79,High,42,Medium,37,Medium,24.87,Medium,82.84,Medium,6.59,High,295.61,High,rice,,,,,,,,,,,,
78,High,43,Medium,42,Medium,21.32,Low,83.00,Medium,7.28,High,192.32,High,rice,,,,,,,,,,,,
75,High,54,Medium,36,Medium,26.29,Medium,84.57,Medium,7.02,High,257.49,High,rice,,,,,,,,,,,,
97,High,36,Medium,45,Medium,22.23,Low,81.86,Medium,6.94,High,278.08,High,rice,,,,,,,,,,,,
67,Medium,47,Medium,44,Medium,26.73,Medium,81.79,Medium,7.87,High,280.40,High,rice,,,,,,,,,,,,
73,High,35,Medium,38,Medium,24.89,Medium,81.98,Medium,5.01,Low,185.95,High,rice,,,,,,,,,,,,
77,High,36,Medium,37,Medium,26.88,Medium,81.46,Medium,6.14,Medium,194.58,High,rice,,,,,,,,,,,,
81,High,41,Medium,38,Medium,22.68,Low,83.73,Medium,7.52,High,200.91,High,rice,,,,,,,,,,,,
68,Medium,57,Medium,43,Medium,26.09,Medium,80.38,Medium,5.71,Low,182.90,High,rice,,,,,,,,,,,,
72,High,45,Medium,35,Medium,25.43,Medium,82.95,Medium,5.76,Low,195.36,High,rice,,,,,,,,,,,,
61,Medium,53,Medium,43,Medium,26.40,Medium,81.06,Medium,6.35,Medium,223.37,High,rice,,,,,,,,,,,,
67,Medium,43,Medium,39,Medium,26.04,Medium,84.97,Medium,6.00,Low,186.75,High,rice,,,,,,,,,,,,
67,Medium,58,Medium,39,Medium,25.28,Medium,80.54,Medium,5.45,Low,220.12,High,rice,,,,,,,,,,,,
66,Medium,60,High,38,Medium,22.09,Low,83.47,Medium,6.37,Medium,231.74,High,rice,,,,,,,,,,,,
82,High,43,Medium,38,Medium,23.29,Low,81.43,Medium,5.11,Low,242.32,High,rice,,,,,,,,,,,,
84,High,50,Medium,44,Medium,25.49,Medium,81.41,Medium,5.94,Low,182.65,High,rice,,,,,,,,,,,,
81,High,53,Medium,42,Medium,23.68,Medium,81.04,Medium,5.18,Low,233.70,High,rice,,,,,,,,,,,,
91,High,50,Medium,40,Medium,20.82,Low,84.13,Medium,6.46,Medium,230.22,High,rice,,,,,,,,,,,,
93,High,53,Medium,38,Medium,26.93,Medium,81.91,Medium,7.07,High,290.68,High,rice,,,,,,,,,,,,
90,High,44,Medium,38,Medium,23.84,Medium,83.88,Medium,7.47,High,241.20,High,rice,,,,,,,,,,,,
81,High,45,Medium,35,Medium,26.53,Medium,80.12,Low,6.16,Medium,218.92,High,rice,,,,,,,,,,,,
78,High,40,Medium,38,Medium,26.46,Medium,83.86,Medium,7.55,High,248.23,High,rice,,,,,,,,,,,,
60,Medium,51,Medium,36,Medium,22.70,Low,82.81,Medium,6.03,Low,257.00,High,rice,,,,,,,,,,,,
88,High,46,Medium,42,Medium,22.68,Low,83.46,Medium,6.60,High,194.27,High,rice,,,,,,,,,,,,
93,High,47,Medium,37,Medium,21.53,Low,82.14,Medium,6.50,Medium,295.92,High,rice,,,,,,,,,,,,
60,Medium,55,Medium,45,Medium,21.41,Low,83.33,Medium,5.94,Low,287.58,High,rice,,,,,,,,,,,,
78,High,35,Medium,44,Medium,26.54,Medium,84.67,Medium,7.07,High,183.62,High,rice,,,,,,,,,,,,
65,Medium,37,Medium,40,Medium,23.36,Low,83.60,Medium,5.33,Low,188.41,High,rice,,,,,,,,,,,,
71,High,54,Medium,16,Low,22.61,Low,63.69,Low,5.75,Low,87.76,Low,maize,,,,,,,,,,,,
61,Medium,44,Medium,17,Low,26.10,Medium,71.57,Low,6.93,High,102.27,Medium,maize,,,,,,,,,,,,
80,High,43,Medium,16,Low,23.56,Medium,71.59,Low,6.66,High,66.72,Low,maize,,,,,,,,,,,,
73,High,58,Medium,21,Low,19.97,Low,57.68,Low,6.60,High,60.65,Low,maize,,,,,,,,,,,,
61,Medium,38,Medium,20,Low,18.48,Low,62.70,Low,5.97,Low,65.44,Low,maize,,,,,,,,,,,,
68,Medium,41,Medium,16,Low,21.78,Low,57.81,Low,6.16,Medium,102.09,Medium,maize,,,,,,,,,,,,
93,High,41,Medium,17,Low,25.62,Medium,66.50,Low,6.05,Low,105.47,Medium,maize,,,,,,,,,,,,
89,High,60,High,19,Low,25.19,Medium,66.69,Low,5.91,Low,78.07,Low,maize,,,,,,,,,,,,
76,High,44,Medium,17,Low,20.42,Low,62.55,Low,5.86,Low,65.28,Low,maize,,,,,,,,,,,,
67,Medium,60,High,25,Low,24.92,Medium,66.79,Low,5.75,Low,109.22,Medium,maize,,,,,,,,,,,,
70,High,44,Medium,19,Low,23.32,Low,73.45,Low,5.85,Low,94.30,Medium,maize,,,,,,,,,,,,
90,High,49,Medium,21,Low,24.84,Medium,68.36,Low,6.47,Medium,74.05,Low,maize,,,,,,,,,,,,
62,Medium,52,Medium,16,Low,22.28,Low,58.84,Low,6.97,High,63.87,Low,maize,,,,,,,,,,,,
92,High,44,Medium,16,Low,18.88,Low,65.77,Low,6.08,Low,94.76,Medium,maize,,,,,,,,,,,,
66,Medium,54,Medium,21,Low,25.19,Medium,60.20,Low,5.92,Low,72.12,Low,maize,,,,,,,,,,,,
63,Medium,58,Medium,22,Low,18.25,Low,55.28,Low,6.20,Medium,63.72,Low,maize,,,,,,,,,,,,
70,High,47,Medium,17,Low,24.61,Medium,70.42,Low,6.60,High,104.16,Medium,maize,,,,,,,,,,,,
61,Medium,41,Medium,17,Low,25.14,Medium,65.26,Low,6.02,Low,76.68,Low,maize,,,,,,,,,,,,
66,Medium,53,Medium,19,Low,23.09,Low,60.12,Low,6.03,Low,65.50,Low,maize,,,,,,,,,,,,
74,High,55,Medium,19,Low,18.05,Low,62.89,Low,6.29,Medium,84.24,Low,maize,,,,,,,,,,,,
77,High,57,Medium,21,Low,24.93,Medium,73.80,Low,6.55,Medium,79.74,Low,maize,,,,,,,,,,,,
99,High,50,Medium,15,Low,18.15,Low,71.09,Low,5.57,Low,88.08,Medium,maize,,,,,,,,,,,,
74,High,56,Medium,22,Low,18.28,Low,66.66,Low,6.83,High,80.98,Low,maize,,,,,,,,,,,,
83,High,45,Medium,21,Low,18.83,Low,58.75,Low,5.72,Low,79.75,Low,maize,,,,,,,,,,,,
100,High,48,Medium,16,Low,25.72,Medium,67.22,Low,5.55,Low,74.51,Low,maize,,,,,,,,,,,,
79,High,51,Medium,16,Low,25.34,Medium,68.50,Low,6.59,Medium,96.46,Medium,maize,,,,,,,,,,,,
94,High,39,Medium,18,Low,23.89,Medium,57.49,Low,5.89,Low,102.83,Medium,maize,,,,,,,,,,,,
75,High,49,Medium,15,Low,21.54,Low,71.51,Low,5.92,Low,102.49,Medium,maize,,,,,,,,,,,,
78,High,48,Medium,22,Low,23.09,Low,63.10,Low,5.59,Low,70.43,Low,maize,,,,,,,,,,,,
87,High,54,Medium,20,Low,25.62,Medium,63.47,Low,6.58,Medium,108.83,Medium,maize,,,,,,,,,,,,
87,High,35,Medium,25,Low,21.45,Low,63.16,Low,6.18,Medium,65.89,Low,maize,,,,,,,,,,,,
63,Medium,43,Medium,19,Low,18.52,Low,55.53,Low,6.64,High,90.99,Medium,maize,,,,,,,,,,,,
84,High,57,Medium,25,Low,22.54,Low,67.99,Low,6.49,Medium,64.41,Low,maize,,,,,,,,,,,,
64,Medium,35,Medium,23,Low,23.02,Low,61.89,Low,5.68,Low,63.04,Low,maize,,,,,,,,,,,,
60,Medium,46,Medium,22,Low,24.89,Medium,65.61,Low,6.63,High,87.93,Low,maize,,,,,,,,,,,,
98,High,44,Medium,21,Low,25.77,Medium,74.09,Low,6.52,Medium,107.49,Medium,maize,,,,,,,,,,,,
75,High,56,Medium,18,Low,19.40,Low,62.36,Low,5.70,Low,60.95,Low,maize,,,,,,,,,,,,
86,High,55,Medium,21,Low,21.54,Low,59.64,Low,6.80,High,109.75,Medium,maize,,,,,,,,,,,,
98,High,35,Medium,18,Low,23.80,Medium,74.83,Low,6.25,Medium,91.76,Medium,maize,,,,,,,,,,,,
76,High,57,Medium,18,Low,18.98,Low,74.53,Low,6.09,Low,94.26,Medium,maize,,,,,,,,,,,,
99,High,56,Medium,17,Low,24.11,Medium,73.13,Low,6.23,Medium,71.08,Low,maize,,,,,,,,,,,,
60,Medium,44,Medium,23,Low,24.79,Medium,70.05,Low,5.72,Low,76.73,Low,maize,,,,,,,,,,,,
74,High,48,Medium,17,Low,21.63,Low,60.28,Low,6.43,Medium,69.22,Low,maize,,,,,,,,,,,,
89,High,60,High,17,Low,25.38,Medium,57.21,Low,5.98,Low,101.70,Medium,maize,,,,,,,,,,,,
69,High,51,Medium,23,Low,22.22,Low,72.85,Low,6.80,High,106.62,Medium,maize,,,,,,,,,,,,
96,High,46,Medium,22,Low,20.58,Low,69.00,Low,6.50,Medium,66.29,Low,maize,,,,,,,,,,,,
61,Medium,60,High,15,Low,24.88,Medium,68.74,Low,6.27,Medium,91.26,Medium,maize,,,,,,,,,,,,
74,High,58,Medium,18,Low,20.04,Low,56.36,Low,6.73,High,109.02,Medium,maize,,,,,,,,,,,,
74,High,43,Medium,23,Low,25.95,Medium,61.89,Low,6.33,Medium,99.58,Medium,maize,,,,,,,,,,,,
63,Medium,43,Medium,17,Low,19.29,Low,65.47,Low,6.81,High,71.32,Low,maize,,,,,,,,,,,,
99,High,36,Medium,20,Low,20.58,Low,65.35,Low,6.67,High,78.35,Low,maize,,,,,,,,,,,,
77,High,36,Medium,23,Low,24.71,Medium,56.73,Low,6.65,High,88.45,Medium,maize,,,,,,,,,,,,
87,High,60,High,23,Low,20.27,Low,63.91,Low,6.44,Medium,62.50,Low,maize,,,,,,,,,,,,
60,Medium,38,Medium,17,Low,18.42,Low,64.24,Low,6.47,Medium,76.41,Low,maize,,,,,,,,,,,,
94,High,54,Medium,17,Low,23.39,Medium,61.74,Low,5.87,Low,107.32,Medium,maize,,,,,,,,,,,,
95,High,38,Medium,22,Low,19.85,Low,61.25,Low,5.73,Low,100.77,Medium,maize,,,,,,,,,,,,
84,High,44,Medium,21,Low,21.87,Low,61.91,Low,5.85,Low,107.27,Medium,maize,,,,,,,,,,,,
77,High,58,Medium,19,Low,22.81,Low,56.51,Low,5.79,Low,101.60,Medium,maize,,,,,,,,,,,,
66,Medium,44,Medium,20,Low,19.08,Low,69.02,Low,6.74,High,80.73,Low,maize,,,,,,,,,,,,
63,Medium,35,Medium,16,Low,22.03,Low,65.36,Low,6.27,Medium,83.73,Low,maize,,,,,,,,,,,,
79,High,45,Medium,20,Low,23.81,Medium,59.25,Low,5.72,Low,89.96,Medium,maize,,,,,,,,,,,,
72,High,60,High,25,Low,18.53,Low,69.03,Low,5.77,Low,88.10,Medium,maize,,,,,,,,,,,,
67,Medium,51,Medium,24,Low,23.50,Medium,61.32,Low,5.58,Low,64.78,Low,maize,,,,,,,,,,,,
86,High,36,Medium,24,Low,26.55,Medium,72.89,Low,5.79,Low,73.34,Low,maize,,,,,,,,,,,,
76,High,48,Medium,18,Low,19.30,Low,69.63,Low,5.78,Low,83.21,Low,maize,,,,,,,,,,,,
75,High,53,Medium,18,Low,20.69,Low,59.44,Low,6.86,High,103.65,Medium,maize,,,,,,,,,,,,
81,High,45,Medium,23,Low,19.33,Low,68.03,Low,6.19,Medium,84.23,Low,maize,,,,,,,,,,,,
73,High,45,Medium,21,Low,24.61,Medium,73.59,Low,6.64,High,96.59,Medium,maize,,,,,,,,,,,,
71,High,35,Medium,24,Low,22.27,Low,59.52,Low,5.83,Low,67.97,Low,maize,,,,,,,,,,,,
96,High,54,Medium,22,Low,25.70,Medium,61.33,Low,6.96,High,83.21,Low,maize,,,,,,,,,,,,
99,High,39,Medium,18,Low,19.20,Low,68.31,Low,6.11,Medium,87.85,Low,maize,,,,,,,,,,,,
62,Medium,48,Medium,20,Low,21.70,Low,60.47,Low,6.71,High,95.71,Medium,maize,,,,,,,,,,,,
86,High,37,Medium,16,Low,20.52,Low,59.21,Low,5.56,Low,67.61,Low,maize,,,,,,,,,,,,
94,High,50,Medium,19,Low,23.30,Low,73.63,Low,5.87,Low,97.59,Medium,maize,,,,,,,,,,,,
76,High,39,Medium,24,Low,24.25,Medium,55.65,Low,7.00,High,64.24,Low,maize,,,,,,,,,,,,
77,High,52,Medium,17,Low,24.86,Medium,65.74,Low,5.71,Low,75.82,Low,maize,,,,,,,,,,,,
74,High,39,Medium,23,Low,22.63,Low,65.77,Low,6.78,High,88.17,Medium,maize,,,,,,,,,,,,
81,High,49,Medium,20,Low,18.04,Low,60.61,Low,5.51,Low,104.23,Medium,maize,,,,,,,,,,,,
63,Medium,42,Medium,21,Low,23.26,Low,72.33,Low,5.80,Low,67.10,Low,maize,,,,,,,,,,,,
99,High,38,Medium,21,Low,22.88,Low,71.60,Low,6.35,Medium,67.73,Low,maize,,,,,,,,,,,,
90,High,52,Medium,25,Low,25.97,Medium,69.36,Low,6.82,High,103.22,Medium,maize,,,,,,,,,,,,
68,Medium,40,Medium,19,Low,26.14,Medium,66.21,Low,6.66,High,107.24,Medium,maize,,,,,,,,,,,,
60,Medium,57,Medium,24,Low,18.66,Low,61.55,Low,6.12,Medium,75.03,Low,maize,,,,,,,,,,,,
71,High,52,Medium,18,Low,25.11,Medium,55.98,Low,5.79,Low,78.16,Low,maize,,,,,,,,,,,,
61,Medium,59,High,17,Low,23.34,Low,59.25,Low,6.47,Medium,105.01,Medium,maize,,,,,,,,,,,,
88,High,38,Medium,15,Low,25.08,Medium,65.92,Low,6.46,Medium,62.49,Low,maize,,,,,,,,,,,,
65,Medium,60,High,22,Low,25.37,Medium,72.52,Low,6.61,High,107.91,Medium,maize,,,,,,,,,,,,
78,High,37,Medium,22,Low,25.34,Medium,63.32,Low,6.33,Medium,74.52,Low,maize,,,,,,,,,,,,
78,High,58,Medium,15,Low,25.01,Medium,67.82,Low,6.53,Medium,62.91,Low,maize,,,,,,,,,,,,
92,High,60,High,23,Low,18.67,Low,71.52,Low,5.72,Low,69.93,Low,maize,,,,,,,,,,,,
79,High,59,High,17,Low,20.38,Low,63.74,Low,6.64,High,108.51,Medium,maize,,,,,,,,,,,,
91,High,55,Medium,15,Low,18.09,Low,72.61,Low,6.38,Medium,78.96,Low,maize,,,,,,,,,,,,
76,High,51,Medium,18,Low,26.17,Medium,71.96,Low,6.25,Medium,79.85,Low,maize,,,,,,,,,,,,
87,High,48,Medium,25,Low,18.65,Low,61.38,Low,6.66,High,93.62,Medium,maize,,,,,,,,,,,,
71,High,60,High,22,Low,26.07,Medium,59.37,Low,6.20,Medium,85.76,Low,maize,,,,,,,,,,,,
90,High,57,Medium,24,Low,18.93,Low,72.80,Low,6.16,Medium,82.34,Low,maize,,,,,,,,,,,,
67,Medium,35,Medium,22,Low,23.31,Low,63.25,Low,6.39,Medium,108.76,Medium,maize,,,,,,,,,,,,
60,Medium,54,Medium,19,Low,18.75,Low,62.50,Low,6.42,Medium,70.23,Low,maize,,,,,,,,,,,,
83,High,58,Medium,23,Low,19.74,Low,59.66,Low,6.38,Medium,65.51,Low,maize,,,,,,,,,,,,
83,High,57,Medium,19,Low,25.73,Medium,70.75,Low,6.88,High,98.74,Medium,maize,,,,,,,,,,,,
40,Medium,72,High,77,High,17.02,Low,16.99,Low,7.49,High,88.55,Medium,chickpea,,,,,,,,,,,,
23,Low,72,High,84,High,19.02,Low,17.13,Low,6.92,High,79.93,Low,chickpea,,,,,,,,,,,,
39,Medium,58,Medium,85,High,17.89,Low,15.41,Low,6.00,Low,68.55,Low,chickpea,,,,,,,,,,,,
22,Low,72,High,85,High,18.87,Low,15.66,Low,6.39,Medium,88.51,Medium,chickpea,,,,,,,,,,,,
36,Medium,67,High,77,High,18.37,Low,19.56,Low,7.15,High,79.26,Low,chickpea,,,,,,,,,,,,
32,Medium,73,High,81,High,20.45,Low,15.40,Low,5.99,Low,92.68,Medium,chickpea,,,,,,,,,,,,
58,Medium,70,High,84,High,20.65,Low,16.61,Low,6.23,Medium,74.66,Low,chickpea,,,,,,,,,,,,
59,Medium,70,High,84,High,17.33,Low,18.75,Low,7.55,High,82.62,Low,chickpea,,,,,,,,,,,,
42,Medium,62,High,75,High,18.18,Low,18.90,Low,7.01,High,81.85,Low,chickpea,,,,,,,,,,,,
28,Low,74,High,81,High,18.01,Low,18.31,Low,8.75,High,81.99,Low,chickpea,,,,,,,,,,,,
58,Medium,66,High,79,High,20.99,Low,19.33,Low,8.72,High,93.55,Medium,chickpea,,,,,,,,,,,,
43,Medium,66,High,79,High,19.46,Low,15.23,Low,7.98,High,74.59,Low,chickpea,,,,,,,,,,,,
58,Medium,63,High,81,High,19.81,Low,14.70,Low,6.52,Medium,78.97,Low,chickpea,,,,,,,,,,,,
23,Low,62,High,85,High,18.97,Low,19.52,Low,8.49,High,80.71,Low,chickpea,,,,,,,,,,,,
27,Low,62,High,77,High,18.20,Low,14.71,Low,6.58,Medium,70.18,Low,chickpea,,,,,,,,,,,,
28,Low,72,High,84,High,18.73,Low,19.18,Low,6.48,Medium,71.58,Low,chickpea,,,,,,,,,,,,
50,Medium,56,Medium,76,High,21.00,Low,19.86,Low,7.97,High,73.51,Low,chickpea,,,,,,,,,,,,
39,Medium,71,High,84,High,20.28,Low,16.40,Low,8.14,High,82.52,Low,chickpea,,,,,,,,,,,,
25,Low,78,High,76,High,17.48,Low,15.76,Low,7.23,High,66.97,Low,chickpea,,,,,,,,,,,,
31,Low,70,High,77,High,20.89,Low,14.32,Low,6.49,Medium,90.46,Medium,chickpea,,,,,,,,,,,,
26,Low,80,High,83,High,17.08,Low,16.15,Low,7.53,High,71.31,Low,chickpea,,,,,,,,,,,,
25,Low,68,High,77,High,20.09,Low,15.11,Low,7.70,High,85.75,Low,chickpea,,,,,,,,,,,,
31,Low,78,High,76,High,17.57,Low,15.00,Low,8.52,High,89.31,Medium,chickpea,,,,,,,,,,,,
60,Medium,68,High,83,High,19.12,Low,18.43,Low,6.62,High,85.53,Low,chickpea,,,,,,,,,,,,
59,Medium,62,High,83,High,18.58,Low,19.22,Low,8.10,High,72.95,Low,chickpea,,,,,,,,,,,,
22,Low,67,High,78,High,17.17,Low,14.42,Low,6.20,Medium,72.33,Low,chickpea,,,,,,,,,,,,
36,Medium,65,High,80,High,18.29,Low,16.68,Low,6.05,Low,74.87,Low,chickpea,,,,,,,,,,,,
59,Medium,60,High,84,High,19.03,Low,18.67,Low,7.69,High,94.71,Medium,chickpea,,,,,,,,,,,,
